"EEID"	"Full Name"	"Job Title"	"Department"	"Business Unit"	"Gender"	"Ethnicity"	"Age"	"Hire Date"	"Annual Salary"	"Bonus %"	"Country"	"City"	"Exit Date"
"E03574"	"John Moore"	"Vice President"	"IT"	"Speciality Products"	"Male"	"Caucasian"	"52"	"Tue Nov 08 2005 00:00:00 GMT-0500 (アメリカ東部標準時)"	"199808"	"0.32"	"United States"	"Seattle"	""
"E04600"	"William Vu"	"Account Representative"	"Sales"	"Speciality Products"	"Male"	"Asian"	"37"	"Thu Nov 14 2013 00:00:00 GMT-0500 (アメリカ東部標準時)"	"56037"	"0"	"China"	"Shanghai"	""
"E00586"	"Sadie Washington"	"Sr. Manger"	"Marketing"	"Research & Development"	"Female"	"Caucasian"	"29"	"Fri May 24 2019 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"122350"	"0.12"	"United States"	"Phoenix"	""
"E03538"	"Gabriel Holmes"	"Enterprise Architect"	"IT"	"Research & Development"	"Male"	"Caucasian"	"40"	"Thu Nov 04 2010 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"92952"	"0"	"United States"	"Seattle"	""
"E02185"	"Wyatt Rojas"	"Computer Systems Manager"	"IT"	"Corporate"	"Male"	"Latino"	"32"	"Wed Mar 20 2013 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"79921"	"0.05"	"United States"	"Austin"	""
"E03830"	"Eva Coleman"	"Director"	"IT"	"Research & Development"	"Female"	"Black"	"37"	"Sun Sep 20 2009 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"167199"	"0.2"	"United States"	"Seattle"	""
"E03720"	"Dominic Clark"	"Quality Engineer"	"Engineering"	"Research & Development"	"Male"	"Caucasian"	"52"	"Wed Oct 17 2012 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"71476"	"0"	"United States"	"Phoenix"	""
"E03025"	"Lucy Alexander"	"Director"	"Engineering"	"Manufacturing"	"Female"	"Caucasian"	"45"	"Wed Oct 29 2014 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"189420"	"0.2"	"United States"	"Seattle"	""
"E04917"	"Everleigh Washington"	"HRIS Analyst"	"Human Resources"	"Research & Development"	"Female"	"Caucasian"	"64"	"Sat Oct 20 2001 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"64057"	"0"	"United States"	"Phoenix"	""
"E00415"	"Leilani Butler"	"Analyst II"	"Marketing"	"Manufacturing"	"Female"	"Black"	"27"	"Tue Sep 21 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"68728"	"0"	"United States"	"Phoenix"	""
"E02862"	"Peyton Huang"	"Sr. Manger"	"IT"	"Manufacturing"	"Female"	"Asian"	"25"	"Fri Jul 02 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"125633"	"0.11"	"China"	"Beijing"	""
"E04207"	"John Contreras"	"Analyst II"	"Marketing"	"Manufacturing"	"Male"	"Latino"	"35"	"Sun May 15 2011 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"66889"	"0"	"United States"	"Columbus"	""
"E02139"	"Rylee Yu"	"Director"	"Accounting"	"Research & Development"	"Female"	"Asian"	"36"	"Tue Sep 29 2015 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"178700"	"0.29"	"United States"	"Seattle"	""
"E01797"	"Piper Lewis"	"Field Engineer"	"Engineering"	"Research & Development"	"Female"	"Caucasian"	"33"	"Sat Dec 22 2018 00:00:00 GMT-0500 (アメリカ東部標準時)"	"83990"	"0"	"United States"	"Chicago"	""
"E01839"	"Stella Alexander"	"Automation Engineer"	"Engineering"	"Corporate"	"Female"	"Caucasian"	"52"	"Sat Dec 10 2005 00:00:00 GMT-0500 (アメリカ東部標準時)"	"102043"	"0"	"United States"	"Chicago"	""
"E01633"	"Addison Do"	"Operations Engineer"	"Engineering"	"Manufacturing"	"Female"	"Asian"	"46"	"Wed May 30 2001 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"90678"	"0"	"United States"	"Columbus"	""
"E01848"	"Zoey Jackson"	"Business Partner"	"Human Resources"	"Manufacturing"	"Female"	"Black"	"46"	"Thu Aug 21 2008 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"59067"	"0"	"United States"	"Miami"	""
"E00716"	"John Chow"	"Sr. Manger"	"Marketing"	"Research & Development"	"Male"	"Asian"	"45"	"Thu Mar 11 2021 00:00:00 GMT-0500 (アメリカ東部標準時)"	"135062"	"0.15"	"China"	"Chengdu"	""
"E00699"	"Ava Ayala"	"Sr. Manger"	"IT"	"Corporate"	"Female"	"Latino"	"55"	"Wed Aug 16 2006 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"159044"	"0.1"	"Brazil"	"Manaus"	""
"E00502"	"Natalia Salazar"	"Sr. Analyst"	"Accounting"	"Manufacturing"	"Female"	"Latino"	"44"	"Wed Jan 02 2019 00:00:00 GMT-0500 (アメリカ東部標準時)"	"74691"	"0"	"Brazil"	"Manaus"	"Wed Jul 08 2020 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E04000"	"Skylar Carrillo"	"Engineering Manager"	"Engineering"	"Corporate"	"Female"	"Latino"	"44"	"Thu Dec 18 2008 00:00:00 GMT-0500 (アメリカ東部標準時)"	"92753"	"0.13"	"United States"	"Austin"	"Thu Jun 24 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E02112"	"Christian Sanders"	"Vice President"	"Human Resources"	"Speciality Products"	"Male"	"Black"	"45"	"Wed Aug 07 2013 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"236946"	"0.37"	"United States"	"Seattle"	""
"E03824"	"Penelope Coleman"	"Analyst"	"Finance"	"Corporate"	"Female"	"Black"	"36"	"Fri Aug 27 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"48906"	"0"	"United States"	"Miami"	""
"E03906"	"Piper Richardson"	"Sr. Analyst"	"Sales"	"Corporate"	"Female"	"Caucasian"	"38"	"Sun Jan 27 2008 00:00:00 GMT-0500 (アメリカ東部標準時)"	"80024"	"0"	"United States"	"Columbus"	""
"E00436"	"Everly Walker"	"HRIS Analyst"	"Human Resources"	"Speciality Products"	"Female"	"Caucasian"	"41"	"Fri Oct 23 2009 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"54415"	"0"	"United States"	"Seattle"	"Wed Jan 22 2014 00:00:00 GMT-0500 (アメリカ東部標準時)"
"E04798"	"Aurora Ali"	"Manager"	"Marketing"	"Research & Development"	"Female"	"Asian"	"30"	"Sun Apr 24 2016 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"120341"	"0.07"	"United States"	"Seattle"	""
"E01249"	"Penelope Guerrero"	"Vice President"	"IT"	"Speciality Products"	"Female"	"Latino"	"43"	"Tue Aug 04 2009 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"208415"	"0.35"	"United States"	"Seattle"	""
"E03349"	"Anna Mehta"	"Cloud Infrastructure Architect"	"IT"	"Speciality Products"	"Female"	"Asian"	"32"	"Sun Jan 05 2020 00:00:00 GMT-0500 (アメリカ東部標準時)"	"78844"	"0"	"United States"	"Seattle"	""
"E02966"	"William Foster"	"Field Engineer"	"Engineering"	"Manufacturing"	"Male"	"Caucasian"	"58"	"Thu May 23 2002 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"76354"	"0"	"United States"	"Phoenix"	"Sun Sep 26 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E01499"	"Jade Rojas"	"Director"	"Finance"	"Speciality Products"	"Female"	"Latino"	"37"	"Mon Jan 28 2019 00:00:00 GMT-0500 (アメリカ東部標準時)"	"165927"	"0.2"	"United States"	"Phoenix"	""
"E00105"	"Isla Espinoza"	"Manager"	"Accounting"	"Speciality Products"	"Female"	"Latino"	"38"	"Tue Nov 16 2021 00:00:00 GMT-0500 (アメリカ東部標準時)"	"109812"	"0.09"	"Brazil"	"Manaus"	""
"E00665"	"David Chu"	"Controls Engineer"	"Engineering"	"Corporate"	"Male"	"Asian"	"55"	"Thu Sep 03 1998 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"86299"	"0"	"United States"	"Seattle"	""
"E00791"	"Thomas Padilla"	"Vice President"	"Marketing"	"Research & Development"	"Male"	"Latino"	"57"	"Sat Jul 26 2003 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"206624"	"0.4"	"Brazil"	"Sao Paulo"	""
"E01540"	"Miles Salazar"	"IT Coordinator"	"IT"	"Manufacturing"	"Male"	"Latino"	"36"	"Thu Dec 23 2010 00:00:00 GMT-0500 (アメリカ東部標準時)"	"53215"	"0"	"Brazil"	"Sao Paulo"	"Thu Mar 27 2014 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E04474"	"Mila Hong"	"Test Engineer"	"Engineering"	"Research & Development"	"Female"	"Asian"	"30"	"Mon May 22 2017 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"86858"	"0"	"China"	"Chongqing"	"Sun Oct 08 2017 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E03417"	"Benjamin Moua"	"Computer Systems Manager"	"IT"	"Manufacturing"	"Male"	"Asian"	"40"	"Mon Jul 02 2007 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"93971"	"0.08"	"China"	"Chongqing"	""
"E00254"	"Samuel Morales"	"Analyst II"	"Finance"	"Corporate"	"Male"	"Latino"	"34"	"Sat Jun 27 2015 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"57008"	"0"	"United States"	"Phoenix"	""
"E02166"	"John Soto"	"Sr. Manger"	"Finance"	"Manufacturing"	"Male"	"Latino"	"60"	"Wed Sep 23 2015 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"141899"	"0.15"	"United States"	"Phoenix"	""
"E00935"	"Joseph Martin"	"Analyst II"	"Marketing"	"Corporate"	"Male"	"Black"	"41"	"Tue Sep 13 2016 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"64847"	"0"	"United States"	"Miami"	""
"E01525"	"Jose Ross"	"Engineering Manager"	"Engineering"	"Research & Development"	"Male"	"Caucasian"	"53"	"Wed Apr 08 1992 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"116878"	"0.11"	"United States"	"Miami"	""
"E00386"	"Parker James"	"Quality Engineer"	"Engineering"	"Speciality Products"	"Male"	"Black"	"45"	"Sat Feb 05 2005 00:00:00 GMT-0500 (アメリカ東部標準時)"	"70505"	"0"	"United States"	"Austin"	""
"E00416"	"Everleigh Fernandez"	"Director"	"Engineering"	"Research & Development"	"Female"	"Latino"	"30"	"Sun May 22 2016 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"189702"	"0.28"	"Brazil"	"Manaus"	"Mon Dec 21 2020 00:00:00 GMT-0500 (アメリカ東部標準時)"
"E03383"	"Lincoln Hall"	"Director"	"Accounting"	"Speciality Products"	"Male"	"Caucasian"	"26"	"Tue Jul 28 2020 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"180664"	"0.27"	"United States"	"Chicago"	""
"E01516"	"Willow Mai"	"Business Partner"	"Human Resources"	"Manufacturing"	"Female"	"Asian"	"45"	"Wed Dec 17 2003 00:00:00 GMT-0500 (アメリカ東部標準時)"	"48345"	"0"	"China"	"Chengdu"	""
"E01234"	"Jack Cheng"	"Director"	"Human Resources"	"Manufacturing"	"Male"	"Asian"	"42"	"Thu Jan 16 2014 00:00:00 GMT-0500 (アメリカ東部標準時)"	"152214"	"0.3"	"China"	"Beijing"	""
"E03440"	"Genesis Navarro"	"Cloud Infrastructure Architect"	"IT"	"Corporate"	"Female"	"Latino"	"41"	"Tue Apr 28 2009 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"69803"	"0"	"Brazil"	"Manaus"	""
"E00431"	"Eliza Hernandez"	"Network Architect"	"IT"	"Corporate"	"Female"	"Latino"	"48"	"Thu Jul 04 2019 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"76588"	"0"	"Brazil"	"Rio de Janerio"	""
"E01258"	"Gabriel Brooks"	"Network Engineer"	"IT"	"Manufacturing"	"Male"	"Caucasian"	"29"	"Mon Dec 10 2018 00:00:00 GMT-0500 (アメリカ東部標準時)"	"84596"	"0"	"United States"	"Miami"	""
"E00440"	"Jack Huynh"	"Manager"	"Marketing"	"Research & Development"	"Male"	"Asian"	"27"	"Tue Sep 25 2018 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"114441"	"0.1"	"China"	"Chongqing"	"Sun Dec 22 2019 00:00:00 GMT-0500 (アメリカ東部標準時)"
"E00595"	"Everly Chow"	"Sr. Manger"	"Finance"	"Speciality Products"	"Female"	"Asian"	"33"	"Sat Apr 21 2018 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"140402"	"0.15"	"China"	"Beijing"	""
"E00972"	"Amelia Salazar"	"Analyst II"	"Finance"	"Corporate"	"Female"	"Latino"	"26"	"Tue Apr 23 2019 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"59817"	"0"	"Brazil"	"Sao Paulo"	""
"E04562"	"Xavier Zheng"	"Account Representative"	"Sales"	"Manufacturing"	"Male"	"Asian"	"31"	"Sat Jul 22 2017 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"55854"	"0"	"United States"	"Austin"	""
"E02802"	"Matthew Chau"	"Sr. Business Partner"	"Human Resources"	"Research & Development"	"Male"	"Asian"	"53"	"Sat Nov 16 2002 00:00:00 GMT-0500 (アメリカ東部標準時)"	"95998"	"0"	"United States"	"Seattle"	""
"E01427"	"Mia Cheng"	"Sr. Manger"	"Sales"	"Manufacturing"	"Female"	"Asian"	"34"	"Wed Apr 22 2015 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"154941"	"0.13"	"United States"	"Phoenix"	""
"E04568"	"Rylee Yu"	"Vice President"	"Finance"	"Speciality Products"	"Female"	"Asian"	"54"	"Sun Jul 10 2011 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"247022"	"0.3"	"China"	"Beijing"	""
"E04931"	"Zoe Romero"	"Network Architect"	"IT"	"Manufacturing"	"Female"	"Latino"	"32"	"Tue Oct 05 2021 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"88072"	"0"	"Brazil"	"Sao Paulo"	""
"E00443"	"Nolan Bui"	"Computer Systems Manager"	"IT"	"Research & Development"	"Male"	"Asian"	"28"	"Tue May 26 2020 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"67925"	"0.08"	"China"	"Shanghai"	""
"E03890"	"Nevaeh Jones"	"Vice President"	"Sales"	"Manufacturing"	"Female"	"Caucasian"	"31"	"Thu Aug 20 2020 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"219693"	"0.3"	"United States"	"Austin"	""
"E01194"	"Samantha Adams"	"Test Engineer"	"Engineering"	"Research & Development"	"Female"	"Caucasian"	"45"	"Mon Apr 22 2013 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"61773"	"0"	"United States"	"Seattle"	""
"E02875"	"Madeline Shin"	"Computer Systems Manager"	"IT"	"Speciality Products"	"Female"	"Asian"	"48"	"Tue Jan 09 2007 00:00:00 GMT-0500 (アメリカ東部標準時)"	"74546"	"0.09"	"United States"	"Seattle"	""
"E04959"	"Noah King"	"Development Engineer"	"Engineering"	"Speciality Products"	"Male"	"Black"	"56"	"Tue Jan 27 2015 00:00:00 GMT-0500 (アメリカ東部標準時)"	"62575"	"0"	"United States"	"Miami"	""
"E03816"	"Leilani Chow"	"Director"	"Human Resources"	"Corporate"	"Female"	"Asian"	"27"	"Tue Feb 23 2021 00:00:00 GMT-0500 (アメリカ東部標準時)"	"199041"	"0.16"	"China"	"Beijing"	""
"E01261"	"Connor Simmons"	"Analyst II"	"Accounting"	"Speciality Products"	"Male"	"Caucasian"	"55"	"Thu Apr 05 2007 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"52310"	"0"	"United States"	"Miami"	"Fri Oct 12 2018 00:00:00 GMT-0400 (アメリカ東部夏時間)"
"E03612"	"Grayson Cooper"	"Sr. Manger"	"Finance"	"Speciality Products"	"Male"	"Black"	"64"	"Sat Jun 29 2013 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"159571"	"0.1"	"United States"	"Columbus"	""
"E01388"	"Ivy Soto"	"Field Engineer"	"Engineering"	"Research & Development"	"Female"	"Latino"	"50"	"Thu Oct 23 1997 00:00:00 GMT-0400 (アメリカ東部夏時間)"	"91763"	"0"	"United States"	"Austin"	""
"E03875"	"Aurora Simmons"	"Development Engineer"	"Engineering"	"Corporate"	"Female"	"Caucasian"	"51"	"Fri Dec 22 1995 00:00:00 GMT-0500 (アメリカ東部標準時)"	"96475"	"0"	"United States"	"Austin"	""
"E04413"	"Andrew Thomas"	"Controls Engineer"	"Engineering"	"Manufacturing"	"Male"	"Caucasian"	"36"	"Fri Dec 02 2016 00:00:00 GMT-0500 (アメリカ東部標準時)"	"113781"	"0"	"United States"	"Columbus"	""
"E00691"	"Ezekiel Desai"	"Director"	"Finance"	"Research & Development"	"Male"	"Asian"	"42"	"Wed Jan 15 2003 00:00:00 GMT-0500 (アメリカ東部標準時)"	"166599"	"0.26"	"United States"	"Seattle"	""
"E03047"	"Gabriella Gupta"	"Sr. Account Representative"	"Sales"	"Corporate"	"Female"	"Asian"	"41"	"Tue Feb 15 2005 00:00:00 GMT-0500 (アメリカ東部標準時)"	"95372"	"0"	"China"	"Shanghai"	""
